"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"71","loc_AF3_closed_ForgettingRate_LowBeta",1.33648656692812,0.187691264337597,0.189413148976988,"LowBeta","Location",1,0.656046930052737,1,0.997120948748304,0.997120948748304,1
"72","loc_AF4_closed_ForgettingRate_LowBeta",1.53071171130984,0.132405154923274,0.215736446496959,"LowBeta","Location",1,0.629166620462179,1,0.997120948748304,0.997120948748304,1
"73","loc_F3_closed_ForgettingRate_LowBeta",1.29156797043803,0.202691678708572,0.183264473669573,"LowBeta","Location",1,0.656046930052737,1,0.997120948748304,0.997120948748304,1
"74","loc_F4_closed_ForgettingRate_LowBeta",1.41211651311889,0.164366226101593,0.199715269832112,"LowBeta","Location",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"75","loc_FC5_closed_ForgettingRate_LowBeta",0.893514306399019,0.376039998108699,0.127908339936981,"LowBeta","Location",1,0.817795724042219,1,0.997120948748304,0.997120948748304,1
"76","loc_FC6_closed_ForgettingRate_LowBeta",1.2902729543952,0.203137141925297,0.183086882499176,"LowBeta","Location",1,0.656046930052737,1,0.997120948748304,0.997120948748304,1
"77","loc_F7_closed_ForgettingRate_LowBeta",1.43553513156447,0.157619525918963,0.202892083172545,"LowBeta","Location",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"78","loc_F8_closed_ForgettingRate_LowBeta",1.45659833666518,0.15173805351107,0.20574391783426,"LowBeta","Location",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"79","loc_T7_closed_ForgettingRate_LowBeta",-0.413009636886561,0.681438755687026,-0.0595071651195063,"LowBeta","Location",1,0.906979539350676,1,0.997120948748304,0.997120948748304,1
"80","loc_T8_closed_ForgettingRate_LowBeta",1.52099678895775,0.134821418670467,0.214430386907889,"LowBeta","Location",1,0.629166620462179,1,0.997120948748304,0.997120948748304,1
"81","loc_P7_closed_ForgettingRate_LowBeta",-0.193557742407012,0.847338951121699,-0.0279267572049599,"LowBeta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"82","loc_P8_closed_ForgettingRate_LowBeta",2.16275102162186,0.0355721289412142,0.297984710408987,"LowBeta","Location",1,0.531210458855465,1,0.997120948748304,0.997120948748304,1
"83","loc_O1_closed_ForgettingRate_LowBeta",-0.272383115475063,0.786495782535728,-0.0392847671761315,"LowBeta","Location",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"84","loc_O2_closed_ForgettingRate_LowBeta",0.684637424799683,0.496865418430957,0.0983399136461604,"LowBeta","Location",1,0.852129896067287,1,0.997120948748304,0.997120948748304,1
"85","voc_AF3_closed_ForgettingRate_HighBeta",0.139344507306061,0.88976094656616,0.0201085804648567,"HighBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"86","voc_AF4_closed_ForgettingRate_HighBeta",0.178129248065495,0.859371130719083,0.0257022485973435,"HighBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"87","voc_F3_closed_ForgettingRate_HighBeta",-0.243975836791753,0.808289357128742,-0.0351930642799161,"HighBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"88","voc_F4_closed_ForgettingRate_HighBeta",-0.00362720493471102,0.997120948748304,-0.000523541864614934,"HighBeta","Vocabulary",1,0.997120948748304,1,0.997120948748304,0.997120948748304,1
"89","voc_FC5_closed_ForgettingRate_HighBeta",-0.800164072413365,0.427558291050095,-0.114731082791004,"HighBeta","Vocabulary",1,0.840114536800187,1,0.997120948748304,0.997120948748304,1
"90","voc_FC6_closed_ForgettingRate_HighBeta",-0.583889335021182,0.562028782853371,-0.0839794559322118,"HighBeta","Vocabulary",1,0.856424811967041,1,0.997120948748304,0.997120948748304,1
"91","voc_F7_closed_ForgettingRate_HighBeta",-0.300857853445617,0.764822267337968,-0.0433842043026666,"HighBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
